,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14
H01,0.0,0.33510973229684354,0.34362073198021875,0.6501618465658363,0.5331879876411302,0.21057110541584745,0.5640822326051821,0.4461177513050117,0.13972253063586007,0.3215709125882535,0.44596764226458135,0.5009083941100869,0.5440829456242354,0.45776085183169135
H02,0.33510973229684354,0.0,0.6786931687554898,0.3165745159954746,0.6939621871664483,0.3397819181209901,0.5099482242136052,0.48540697776710146,0.2108734047853416,0.6162232376825014,0.12729186571991002,0.8132521168070829,0.34474932348800214,0.5026211390062572
H03,0.34362073198021875,0.6786931687554898,0.0,0.9929238480502353,0.5547677403641316,0.45556690307242625,0.7770066619486365,0.6331825768257537,0.4758406295154431,0.22432957015487323,0.7863419574010222,0.24493008641862002,0.8459483078828904,0.6262205211696759
H04,0.6501618465658363,0.3165745159954746,0.9929238480502353,0.0,0.9092999522415688,0.6361659202141248,0.6062000579472262,0.7158556027458645,0.5184414301378195,0.9086461516695162,0.2105727665745536,1.1094886330938234,0.4323474897124418,0.6780562462642369
H05,0.5331879876411302,0.6939621871664483,0.5547677403641316,0.9092999522415688,0.0,0.7435224185027854,0.38139365152651167,0.9792753622824213,0.5335904760363889,0.331002623700225,0.7213197618364486,0.4288813745694353,1.016159654003354,0.24107087327701807
H06,0.21057110541584745,0.3397819181209901,0.45556690307242625,0.6361659202141248,0.7435224185027854,0.0,0.7308144729401469,0.23586838939438678,0.2610072501444024,0.5117155586611998,0.46702055648363366,0.6653191242469101,0.39242917368276575,0.6487130707524882
H07,0.5640822326051821,0.5099482242136052,0.7770066619486365,0.6062000579472262,0.38139365152651167,0.7308144729401469,0.0,0.9457126460678976,0.469807222919924,0.579662199166136,0.46987776305158246,0.7507139161727113,0.8530789174174908,0.1616237222993012
H08,0.4461177513050117,0.48540697776710146,0.6331825768257537,0.7158556027458645,0.9792753622824213,0.23586838939438678,0.9457126460678976,0.0,0.4822460415330615,0.7333271740123812,0.6004793800231255,0.8655152867568421,0.33447899695246286,0.8775956483157069
H09,0.13972253063586007,0.2108734047853416,0.4758406295154431,0.5184414301378195,0.5335904760363889,0.2610072501444024,0.469807222919924,0.4822460415330615,0.0,0.4070862398576029,0.3105437026972754,0.6026781073903109,0.48608885851161426,0.3965344000233313
H10,0.3215709125882535,0.6162232376825014,0.22432957015487323,0.9086461516695162,0.331002623700225,0.5117155586611998,0.579662199166136,0.7333271740123812,0.4070862398576029,0.0,0.6983639765629108,0.20131389902557373,0.8653791577362806,0.42124544068113723
H11,0.44596764226458135,0.12729186571991002,0.7863419574010222,0.2105727665745536,0.7213197618364486,0.46702055648363366,0.46987776305158246,0.6004793800231255,0.3105437026972754,0.6983639765629108,0.0,0.8990517829465954,0.4028979771661315,0.5033558854933529
H12,0.5009083941100869,0.8132521168070829,0.24493008641862002,1.1094886330938234,0.4288813745694353,0.6653191242469101,0.7507139161727113,0.8655152867568421,0.6026781073903109,0.20131389902557373,0.8990517829465954,0.0,1.040943331364456,0.5890978213095868
H13,0.5440829456242354,0.34474932348800214,0.8459483078828904,0.4323474897124418,1.016159654003354,0.39242917368276575,0.8530789174174908,0.33447899695246286,0.48608885851161426,0.8653791577362806,0.4028979771661315,1.040943331364456,0.0,0.8434937054988416
H14,0.45776085183169135,0.5026211390062572,0.6262205211696759,0.6780562462642369,0.24107087327701807,0.6487130707524882,0.1616237222993012,0.8775956483157069,0.3965344000233313,0.42124544068113723,0.5033558854933529,0.5890978213095868,0.8434937054988416,0.0
